,track_id,artist_id,artist_name,artist_popularity,artist_followers,artist_genres,instrumentalness,duration_ms,time_signature,acousticness,speechiness,energy,loudness,tempo,key,valence,danceability,liveness
2008,0vlrjt3fBV68KuXKLHN6lX,6piIAIurGAryW5h1rqQC16,Passion,67,193977,"anthem worship,ccm,christian alternative rock,christian music,christian rock,world worship,worship",0.0,277920,3,0.553,0.0332,0.495,-6.71,98.968,7,0.352,0.401,0.684
2009,0AiQLGevpr9XOc9kIRjyuB,1XnyRY1hSHsZxiIEX8Nzl5,The Belonging Co,57,20733,"anthem worship,world worship",0.0,590437,4,0.118,0.0321,0.467,-7.287,144.012,8,0.0622,0.224,0.0881
2010,3OBG99yPHZwjhPpALz17jm,6piIAIurGAryW5h1rqQC16,Passion,67,193977,"anthem worship,ccm,christian alternative rock,christian music,christian rock,world worship,worship",0.0,426699,4,0.305,0.0307,0.334,-7.177,139.702,10,0.0529,0.206,0.0993
2011,3jxzbVpCegxDaWXufQWYOd,5aCopGFOGbHyfqe3yotDPu,Citipointe Live,58,56626,"anthem worship,ccm,christian music,deep ccm,world worship,worship",0.0,289893,4,0.859,0.0341,0.157,-12.237,94.033,2,0.0747,0.221,0.0599
2012,4LLKkFHwpDnuWKjUZyHocA,2akNRvGNB400IDDUMr1PHW,Steffany Gretzinger,65,132367,"anthem worship,christian music,world worship,worship",8.3e-06,339871,4,0.0561,0.0342,0.396,-9.904,71.965,10,0.05,0.128,0.0966
2013,6qJzFn1uLtIPb2J7c8Opy3,2ylW0JAtYmQpymRkrvWnJb,Leeland Mooring,47,1144,,0.0,280763,4,0.00555,0.0315,0.734,-7.422,90.019,11,0.267,0.455,0.243
2014,3xMyljv1oy2f1HWls3tMp8,4leTWyczsXYGlzUh8sFGSz,Kim Walker-Smith,64,159241,"anthem worship,ccm,christian music,deep ccm,world worship,worship",0.0,301107,4,0.00987,0.0377,0.779,-5.531,128.069,2,0.0963,0.476,0.694
2015,1t8gqoON8xpcB7uAtm1TiW,1eqQW3Oj7MHXK05b8O5RHa,Corey Voss,46,5111,"anthem worship,world worship",0.0,306585,4,0.0228,0.0333,0.645,-6.187,172.048,11,0.0976,0.327,0.109
2016,0NkwVfWRSsrBQlo6tE6nVA,2OTr2VfIBrI0y3rZPCSAe2,Life Church Music,36,3705,anthem worship,1.54e-06,378733,4,0.123,0.0322,0.717,-5.564,135.073,1,0.126,0.445,0.707
2017,0xIWuowu94DVPnePfM04uX,5hYRBkg6k7yq787YZedMaR,Bright City,41,6764,anthem worship,1.57e-05,300855,4,0.0241,0.0293,0.48,-8.528,143.961,2,0.085,0.281,0.136
2018,0pyV6VNIlFlJ4EEZhwUG2X,2OTr2VfIBrI0y3rZPCSAe2,Life Church Music,36,3705,anthem worship,0.0,216962,4,0.0364,0.0508,0.917,-4.665,123.935,1,0.291,0.482,0.333
2019,30btd8SJIAWHaRuOMa2yIc,7bvAtcPT3evvSeHDyu2zBC,Bryan & Katie Torwalt,60,61467,"anthem worship,christian music,world worship,worship",2.59e-05,283747,4,0.0186,0.0366,0.637,-8.21,168.174,7,0.128,0.324,0.13
2020,3OvG9LxwPFPBS2W4JqVDrm,1eqQW3Oj7MHXK05b8O5RHa,Corey Voss,46,5111,"anthem worship,world worship",3.45e-06,255121,4,0.0287,0.028,0.693,-5.577,144.034,5,0.202,0.443,0.107
2021,3wsSJzxoAQYvMW891948TB,74cb3MG0x0BOnYNW1uXYnM,Hillsong United,74,1768385,"ccm,christian alternative rock,christian music,rock cristiano,world worship,worship",5.14e-05,264320,4,0.000767,0.0325,0.636,-7.684,123.966,5,0.227,0.429,0.203
2022,3PcIyN4w8oNpcPFv4dNeVy,74cb3MG0x0BOnYNW1uXYnM,Hillsong United,74,1768385,"ccm,christian alternative rock,christian music,rock cristiano,world worship,worship",0.0,378987,4,0.138,0.0261,0.474,-7.99,137.928,0,0.17,0.443,0.127
2023,3h9JltCK3DnZ59kgkRnydF,1VXCIEol192OgSF9VzowGV,River Valley Worship,45,11092,"anthem worship,world worship",0.0,272667,4,0.063,0.0335,0.647,-7.299,139.933,11,0.137,0.426,0.18
